,lambda,Mach,"w, m/s","p, Pa","T, K","rho, kg/m^3","F, m^2"
0,0.13741600128578643,0.13093110627226118,161.23440160210833,7700000.0,3703.6209031717663,6.128342965714747,2.363354603046872
1,0.40735418640196863,0.3908391292868833,477.9611389509166,7100000.0,3652.4634745916183,5.729956574972857,0.8526793457048683
2,0.5689251910051989,0.5500069419389939,667.5373455040022,6500000.0,3597.589225439724,5.325748408700062,0.6568609553015945
3,0.7028356626315604,0.6851292956099607,824.6586018271969,5900000.0,3538.344315677372,4.91508217754394,0.5761355641197122
4,0.9964350025203081,0.9960683226514292,1169.147696509016,4400000.0,3364.784697932564,3.8545551133220886,0.5181864151066687
5,1.110390841428712,1.12402017267875,1302.8555713092067,3800000.0,3281.2635855836197,3.413668473119403,0.5250637616174274
6,1.4410643013630264,1.5287256089455956,1690.8448661463183,2200000.0,2987.756677827232,2.1704826498916567,0.6363112175240834
7,1.5915458152509812,1.7350876995065772,1867.4094337139918,1600000.0,2829.00044637455,1.6671160405165864,0.7501088383060989
8,1.7783747126371663,2.018477452089898,2086.6214991953284,1000000.0,2609.9749063365134,1.129386342788536,0.9909310840954696
9,2.0623615824890393,2.5320900729528555,2419.831988475944,400000.0,2230.5343045714853,0.5286033948361148,1.8256372977958724
10,2.485193337220045,3.6466375776060165,2915.9534322271584,50000.0,1561.6105818354877,0.09437916368281175,8.485412366358602
